,open,high,low,close,volume,amt,turn,oi
2017-01-03 00:00:00,2285.2729,2311.2926,2285.2729,2307.8917,2590892000.0,25440737012.0,0.1654,
2017-01-04 00:00:00,2305.9117,2324.5577,2304.1733,2322.2059,2610440300.0,27183258500.0,0.1666,
2017-01-05 00:00:00,2322.4239,2326.1847,2317.8853,2322.6843,2652871200.0,26566424137.0,0.1693,
2017-01-06 00:00:00,2323.0064,2326.4342,2308.3694,2308.9363,2644512400.0,27286688190.0,0.1688,
2017-01-09 00:00:00,2308.4423,2321.692,2307.1634,2318.3365,2652307400.0,25903507210.0,0.1693,
2017-01-10 00:00:00,2316.1574,2320.9954,2309.9369,2312.5985,2405598100.0,23234949978.0,0.1535,
2017-01-11 00:00:00,2311.9197,2317.6623,2299.313,2300.4749,2692834600.0,25072639380.0,0.1719,
2017-01-12 00:00:00,2299.4896,2310.7752,2294.3243,2295.4033,2213917400.0,21207409536.0,0.1413,
2017-01-13 00:00:00,2293.4653,2315.2116,2291.0624,2308.0552,2754046700.0,26932674953.0,0.1758,
2017-01-16 00:00:00,2303.3177,2343.2727,2282.2431,2337.3944,5929473500.0,57422130271.0,0.3785,
2017-01-17 00:00:00,2326.0089,2332.8355,2320.0333,2329.595,1917044900.0,20007429486.0,0.1224,
2017-01-18 00:00:00,2330.1424,2349.3934,2327.9266,2342.7751,2029889100.0,21780720212.0,0.1296,
2017-01-19 00:00:00,2335.6565,2349.6445,2330.3364,2334.9572,2109073500.0,19780250558.0,0.1346,
2017-01-20 00:00:00,2334.4871,2350.2614,2333.4654,2347.1829,1751128800.0,18489265518.0,0.1118,
2017-01-23 00:00:00,2350.5468,2358.4726,2340.5341,2347.1047,1931132100.0,20759190263.0,0.1232,
2017-01-24 00:00:00,2347.5024,2357.169,2343.4627,2352.4242,2011077700.0,19232210881.0,0.1283,
2017-01-25 00:00:00,2349.5184,2358.9482,2345.699,2358.6974,1780022100.0,18384465912.0,0.1136,
2017-01-26 00:00:00,2359.428,2371.9263,2359.428,2364.0244,1862983100.0,19294724868.0,0.1189,
2017-02-03 00:00:00,2367.5296,2368.9093,2338.198,2339.9894,1451595100.0,16092735126.0,0.0926,
2017-02-06 00:00:00,2346.4438,2351.5572,2336.8989,2343.9673,1989571500.0,21725103384.0,0.127,
2017-02-07 00:00:00,2343.6583,2347.357,2331.7758,2337.5346,1697274000.0,18894961191.0,0.1083,
2017-02-08 00:00:00,2334.6822,2347.0961,2323.9054,2346.4263,2423769100.0,24896256753.0,0.1547,
2017-02-09 00:00:00,2345.8405,2364.1442,2343.7281,2354.9009,3138164600.0,32399332339.0,0.2002,
2017-02-10 00:00:00,2357.5885,2374.4846,2357.2065,2368.1834,3930636000.0,40549347807.0,0.2508,
2017-02-13 00:00:00,2369.6975,2382.9209,2369.4869,2379.3057,3460382600.0,38907287848.0,0.2208,
2017-02-14 00:00:00,2381.1007,2381.6336,2367.0458,2373.5138,2422716700.0,27371194760.0,0.1546,
2017-02-15 00:00:00,2375.6241,2385.1178,2369.4303,2372.192,3894925700.0,37792892133.0,0.2485,
2017-02-16 00:00:00,2373.3133,2378.4506,2366.1598,2376.7626,2962949700.0,29617805580.0,0.1891,
2017-02-17 00:00:00,2378.657,2389.3244,2360.9953,2362.7086,3109047400.0,34309239068.0,0.1984,
2017-02-20 00:00:00,2361.7607,2395.5341,2361.5061,2394.1201,4469041100.0,43486701590.0,0.2852,
2017-02-21 00:00:00,2396.2244,2410.3454,2393.3702,2396.8843,3256980000.0,34544041111.0,0.2079,
2017-02-22 00:00:00,2397.487,2399.3978,2389.0552,2398.1922,2451300900.0,27231838137.0,0.1564,
2017-02-23 00:00:00,2397.5593,2402.5669,2379.5593,2387.4172,2345867100.0,25602450087.0,0.1497,
2017-02-24 00:00:00,2385.0511,2390.3892,2377.099,2389.8774,2568012100.0,25353533822.0,0.1639,
2017-02-27 00:00:00,2384.9181,2387.8177,2365.4666,2370.5594,2382755500.0,25954639587.0,0.1521,
2017-02-28 00:00:00,2369.4712,2379.4279,2366.2364,2370.7070000000003,1679355800.0,18323796827.0,0.1072,
2017-03-01 00:00:00,2371.6526,2383.513,2368.6219,2371.9252,2786312400.0,27623876667.0,0.1778,
2017-03-02 00:00:00,2376.9712,2380.2389,2354.1431,2354.9134,2306273100.0,26057596581.0,0.1472,
2017-03-03 00:00:00,2347.9063,2350.6712,2338.8455,2347.1456,2048310700.0,21533669478.0,0.1307,
2017-03-06 00:00:00,2346.0369,2355.0915,2342.5176,2349.8889,2111239900.0,20808519433.0,0.1347,
