datetime,open,high,low,volume,close
2013-01-04,1885.964,1899.88,1849.779,3920564900.0,1870.5
2013-01-07,1865.058,1892.13,1857.276,2852949900.0,1880.262
2013-01-08,1879.848,1883.142,1846.29,2534855200.0,1857.688
2013-01-09,1851.607,1861.374,1839.011,2510211300.0,1855.342
2013-01-10,1854.987,1875.581,1843.345,2512934500.0,1855.487
2013-01-11,1857.765,1863.27,1810.836,2643782300.0,1818.984
2013-01-14,1811.315,1900.41,1811.066,3586175400.0,1893.1
2013-01-15,1892.506,1907.652,1889.686,3265932800.0,1900.051
2013-01-16,1895.231,1898.234,1851.33,3164398900.0,1877.0
2013-01-17,1871.639,1872.149,1844.452,2330184500.0,1854.936
2013-01-18,1867.763,1897.607,1854.656,2562917000.0,1886.794
2013-01-21,1890.85,1899.002,1871.67,3142856200.0,1898.438
2013-01-22,1895.004,1917.459,1878.45,4129089000.0,1898.502
2013-01-23,1890.693,1911.196,1885.268,2870868000.0,1910.135
2013-01-24,1909.92,1961.979,1885.459,4636251700.0,1900.176
2013-01-25,1898.281,1905.38,1881.131,2180922400.0,1886.454
2013-01-28,1890.885,1958.196,1890.885,4001193900.0,1957.395
2013-01-29,1959.798,1993.195,1950.483,4198398900.0,1982.623
2013-01-30,1984.916,1991.659,1969.775,4025677200.0,1989.315
2013-01-31,1992.479,2000.649,1976.703,3791741800.0,1993.252
2013-02-01,1984.965,2058.052,1979.099,4393958000.0,2055.724
2013-02-04,2068.022,2087.931,2050.688,5508981800.0,2065.394
2013-02-05,2044.162,2076.932,2035.369,5045680200.0,2068.952
2013-02-06,2069.341,2088.446,2063.988,3520212600.0,2078.494
2013-02-07,2074.48,2077.484,2014.752,4349646400.0,2048.575
2013-02-08,2044.141,2061.012,2022.892,3442460800.0,2042.422
2013-02-18,2051.922,2055.411,2013.217,3295871900.0,2014.577
2013-02-19,2011.386,2018.906,1971.428,3131288500.0,1981.074
2013-02-20,1982.434,1984.325,1948.699,2939731200.0,1978.303
2013-02-21,1955.167,1955.167,1876.324,4490004000.0,1897.896
2013-02-22,1895.429,1902.661,1878.342,2556522100.0,1883.475
2013-02-25,1893.442,1912.032,1879.841,2227133500.0,1890.765
2013-02-26,1874.047,1916.764,1863.011,3688458000.0,1865.129
2013-02-27,1871.435,1907.203,1869.511,2866730900.0,1889.476
2013-02-28,1906.125,1957.488,1886.741,3961108600.0,1956.606
2013-03-01,1955.728,1963.597,1911.657,3248281400.0,1944.423
2013-03-04,1904.43,1904.951,1828.549,4813350100.0,1841.624
2013-03-05,1844.287,1917.181,1843.159,4024232100.0,1916.709
2013-03-06,1925.519,1943.926,1907.623,3614474500.0,1933.699
2013-03-07,1922.929,1937.946,1881.669,3246190400.0,1902.374
2013-03-08,1906.355,1917.049,1889.377,2385834700.0,1901.481
2013-03-11,1895.046,1899.309,1867.366,1938632700.0,1879.818
2013-03-12,1878.536,1900.357,1837.83,2837510200.0,1854.618
2013-03-13,1853.016,1860.06,1827.646,2194698100.0,1835.612
2013-03-14,1830.713,1850.43,1824.131,2072084900.0,1838.358
2013-03-15,1835.61,1894.248,1815.366,3832547100.0,1841.32
2013-03-18,1829.393,1841.906,1809.439,2592728400.0,1811.239
2013-03-19,1813.322,1836.033,1805.557,2190141600.0,1830.959
2013-03-20,1833.358,1905.895,1833.358,4086617500.0,1905.765
2013-03-21,1906.848,1912.961,1890.54,2651912500.0,1902.295
2013-03-22,1900.149,1913.266,1893.169,2003806400.0,1904.462
2013-03-25,1913.791,1927.371,1898.27,2362514800.0,1901.932
2013-03-26,1891.314,1894.661,1852.156,2840663900.0,1861.259
2013-03-27,1863.515,1891.276,1854.822,2394241000.0,1868.44
2013-03-28,1816.85,1816.85,1782.235,4497912900.0,1791.643
2013-03-29,1791.572,1797.376,1774.924,2579377900.0,1793.194
2013-04-01,1781.793,1796.293,1779.1,1772571800.0,1784.071
2013-04-02,1785.568,1805.739,1771.37,2204660400.0,1783.217
2013-04-03,1787.981,1805.007,1782.785,1875024000.0,1789.666
2013-04-08,1755.763,1775.338,1747.66,1958265400.0,1773.103
2013-04-09,1776.828,1800.57,1776.828,1977779400.0,1788.633
2013-04-10,1787.74,1794.221,1775.611,1721520100.0,1787.928
2013-04-11,1802.507,1808.285,1782.897,1619332600.0,1784.128
2013-04-12,1783.091,1794.335,1773.5,1435489500.0,1774.505
2013-04-15,1768.206,1777.135,1754.7,1743301500.0,1759.802
2013-04-16,1746.314,1774.071,1739.218,2237994300.0,1772.643
2013-04-17,1769.811,1774.493,1747.413,1651113500.0,1761.617
2013-04-18,1745.942,1772.611,1740.26,1753774400.0,1768.15
2013-04-19,1772.641,1836.611,1771.5,3305717000.0,1827.983
2013-04-22,1820.027,1830.994,1814.867,2162122900.0,1823.947
2013-04-23,1828.09,1828.09,1759.415,2322778800.0,1760.677
2013-04-24,1764.029,1809.126,1755.439,2239229100.0,1793.885
2013-04-25,1786.862,1800.561,1762.172,2058464500.0,1778.294
2013-04-26,1786.638,1793.946,1760.223,1671403300.0,1766.037
2013-05-02,1758.379,1766.141,1745.571,1792622200.0,1763.05
2013-05-03,1770.686,1821.379,1770.322,2456165300.0,1795.489
2013-05-06,1804.889,1826.192,1801.364,2199726600.0,1816.598
2013-05-07,1812.033,1824.511,1800.268,1938204200.0,1817.925
2013-05-08,1826.432,1842.126,1814.956,2114642000.0,1824.377
2013-05-09,1825.384,1826.969,1794.421,1944205300.0,1807.862
2013-05-10,1804.175,1823.471,1798.986,1632228400.0,1819.117
2013-05-13,1819.556,1823.036,1800.306,1736063800.0,1810.724
2013-05-14,1806.175,1807.035,1776.695,1831264200.0,1785.575
2013-05-15,1787.836,1795.38,1781.219,1243394600.0,1789.431
2013-05-16,1785.709,1822.674,1770.406,2440490400.0,1821.453
2013-05-17,1819.516,1849.875,1810.316,2756330000.0,1843.809
2013-05-20,1848.324,1877.27,1841.415,2965570700.0,1861.252
2013-05-21,1858.141,1863.026,1840.2,1978147300.0,1851.084
2013-05-22,1850.747,1862.734,1847.466,1913382700.0,1858.198
2013-05-23,1849.256,1855.027,1822.374,2047173700.0,1823.737
2013-05-24,1831.716,1842.863,1814.569,1619764400.0,1829.141
2013-05-27,1825.225,1838.85,1821.157,1787880800.0,1827.263
2013-05-28,1827.604,1870.251,1821.239,3070059700.0,1870.094
2013-05-29,1873.085,1882.751,1860.402,2600340300.0,1861.702
2013-05-30,1855.758,1866.896,1848.555,2055181000.0,1855.456
2013-05-31,1859.238,1865.552,1839.348,1744705500.0,1841.366
2013-06-03,1840.4,1854.38,1833.842,1708802000.0,1838.64
2013-06-04,1837.637,1837.637,1815.686,1849295000.0,1819.503
2013-06-05,1818.811,1820.118,1799.744,1381532200.0,1806.821
2013-06-06,1801.491,1803.814,1782.478,1497873300.0,1784.702
2013-06-07,1783.856,1793.129,1755.599,1988684100.0,1760.224
2013-06-13,1733.142,1733.142,1679.664,2537067200.0,1700.802
2013-06-14,1703.08,1706.964,1692.312,1827829800.0,1704.147
