DateTime,open,high,low,close,volume,amt,turn
2000/1/4,1001.29,1038.06,987.12,1029.35,69890000,1102330000,1.2438
2000/1/5,1028.82,1060.38,1012.47,1035.46,102980000,1555120000,1.8326
2000/1/6,1031.09,1075.01,1017.05,1067.56,127650000,1871200000,2.2682
2000/1/7,1073,1114.83,1057.66,1098.98,227970000,3465030000,4.0444
2000/1/10,1106.39,1147.24,1080.44,1129.63,237830000,3740810000,4.2193
2000/1/11,1131.28,1146.75,1072.5,1089.33,178850000,2761210000,3.173
2000/1/12,1085.1,1107.65,1047.22,1063.88,134020000,2023300000,2.3777
2000/1/13,1059.31,1081.3,1040.01,1058.31,76050000,1144990000,1.3492
2000/1/14,1059.61,1079.08,1035.97,1052.38,76600000,1137710000,1.359
2000/1/17,1051.02,1082.5,1034.19,1071.45,95170000,1409410000,1.6885
2000/1/18,1071.92,1094.07,1048.92,1071.7,103870000,1621140000,1.8391
2000/1/19,1072.26,1106.68,1057.69,1091.69,108290000,1816140000,1.9173
2000/1/20,1091.36,1128.52,1076.02,1113.4,149630000,2430230000,2.6494
2000/1/21,1118.03,1152.5,1092.9,1120.72,208270000,3395540000,3.6629
2000/1/24,1123.69,1166.85,1095.28,1149.42,227120000,3672670000,3.9903
2000/1/25,1155.03,1185.96,1115.03,1145.21,217020000,3482940000,3.8129
2000/1/26,1148.13,1176.84,1119.9,1151.53,160870000,2612030000,2.8262
2000/1/27,1158.23,1199.97,1132.45,1174.19,233820000,3955860000,4.1079
2000/1/28,1180.29,1219.47,1149.31,1191.33,258190000,4395720000,4.5276
2000/2/14,1227.39,1300.97,1211.96,1297.86,290050000,5054310000,5.0988
2000/2/15,1330.63,1390.29,1278.28,1318.68,411610000,7504170000,7.218
2000/2/16,1326.23,1388.55,1282.19,1360.84,404310000,7343140000,7.0901
2000/2/17,1395.55,1448.22,1264.65,1308.44,515680000,9649130000,9.0431
2000/2/18,1291.76,1369.83,1244.24,1351.46,303450000,5451160000,5.3213
2000/2/21,1364.83,1412.3,1299.98,1351.32,336260000,6125160000,5.8916
2000/2/22,1354.51,1399.97,1285.15,1312.15,302140000,5277670000,5.2938
2000/2/23,1293.81,1330.55,1245.61,1275.47,243670000,4254450000,4.2693
2000/2/24,1260.89,1328.48,1245.21,1308.51,211080000,3930810000,3.6982
2000/2/25,1305.47,1349.55,1266.07,1305.65,234710000,4411760000,4.1124
2000/2/28,1309.14,1380.4,1287.7,1359.87,295580000,5561890000,5.1788
2000/2/29,1370.06,1407.6,1310.82,1356.48,296570000,5155690000,5.1962
2000/3/1,1356.98,1396.89,1311.02,1355.19,260330000,4476030000,4.7405
2000/3/2,1356.03,1402.59,1323.25,1364.65,252000000,4297560000,4.4153
2000/3/3,1376.58,1417.49,1344.54,1378.77,306340000,5179330000,5.3673
2000/3/6,1387.96,1419.76,1308.22,1327.12,319900000,5576380000,5.6049
2000/3/7,1309.86,1356.3,1280.06,1332.95,176980000,3143370000,3.1007
2000/3/8,1334.65,1376.44,1307.54,1353.06,171720000,3032400000,3.0087
2000/3/9,1360.17,1390.53,1324.61,1358.2,194690000,3439940000,3.387
2000/3/10,1357.89,1391.99,1319.4,1344.17,202430000,3435330000,3.4336
2000/3/13,1343.84,1391.23,1324.24,1371,189740000,3362210000,3.2182
2000/3/14,1342.57,1372.68,1283.52,1339.33,238040000,4181300000,4.0376
2000/3/15,1336.13,1380.82,1313.81,1346.39,216270000,3546840000,3.6683
2000/3/16,1337.06,1350.02,1262.49,1280.6,187360000,2984310000,3.1779
2000/3/17,1277.81,1336.61,1265.66,1320.31,179990000,2994900000,3.0362
2000/3/20,1307.08,1370.43,1281.66,1353.98,239800000,3789720000,4.045
2000/3/21,1359.98,1397.02,1328.07,1372.43,281800000,4204150000,4.7304
2000/3/22,1377.92,1418.29,1347.99,1384.77,273500000,4310090000,4.591
2000/3/23,1388.76,1426.08,1364.15,1408.55,247340000,3975940000,4.139
2000/3/24,1417.23,1450.18,1377.49,1399.19,286890000,4551540000,4.8008
2000/3/27,1404.25,1460.07,1383.12,1435.4,286130000,4712650000,4.785
2000/3/28,1448.41,1481.52,1406.64,1445.54,290340000,4738570000,4.8553
2000/3/29,1451.2,1483.1,1406.27,1446.81,262330000,4361350000,4.3869
2000/3/30,1452.15,1490.54,1424.91,1465.91,250410000,4225000000,4.1876
2000/3/31,1469.32,1502.84,1423.75,1463.59,275530000,4739050000,4.5861
2000/4/3,1461.28,1504.94,1432.31,1464.33,281690000,5412690000,4.6044
2000/4/4,1457.57,1480.19,1409.19,1434.87,214020000,3888920000,3.4984
2000/4/5,1431.05,1475.85,1409.65,1448.04,189770000,3247590000,3.102
2000/4/6,1452.88,1499.53,1438.29,1480.13,216060000,3636190000,3.527
2000/4/7,1484.69,1512.81,1450.95,1481.99,210130000,3586500000,3.4234
2000/4/10,1485.76,1517.85,1456.49,1486.12,237100000,4026120000,3.8628
2000/4/11,1486.85,1520.65,1450.91,1489.21,195070000,3482740000,3.1678
2000/4/12,1486.12,1510.55,1442.63,1471.27,164390000,2821890000,2.6695
2000/4/13,1470.7,1506.27,1449.05,1482.32,180450000,3068130000,2.9269
2000/4/14,1484.54,1512.52,1452.28,1480.41,205240000,3377710000,3.3229
2000/4/17,1471.96,1496.33,1420.43,1451.18,228660000,3799290000,3.7021
2000/4/18,1463.94,1494.57,1425.5,1460.38,86780000,1455470000,2.6997
2000/4/19,1472.99,1505.51,1449.03,1477.86,151840000,2599020000,2.4423
2000/4/20,1481.64,1516.57,1456.52,1492.07,189160000,3280040000,3.0425
2000/4/21,1495.09,1528.78,1465.07,1488.81,210490000,3663520000,3.3857
2000/4/24,1486.96,1516.97,1452.89,1479.49,182080000,3096550000,2.9287
2000/4/25,1480.48,1507.08,1447.96,1476.14,123390000,2141640000,1.9848
2000/4/26,1479.86,1509.75,1454.68,1478.89,124380000,2234160000,2.0005
2000/4/27,1478.32,1504.32,1442.59,1463.3,128680000,2262250000,2.0698
2000/4/28,1462.5,1510.96,1442.69,1494.56,154410000,2989990000,2.4837
2000/5/8,1498.28,1527.13,1462.84,1493.33,119530000,2335580000,1.9196
2000/5/9,1498.1,1522.44,1456.21,1478.49,133090000,2450820000,2.1372
2000/5/10,1472.25,1487.08,1419.71,1436.33,113240000,2020540000,1.8052
2000/5/11,1433.6,1460.92,1396.98,1418.26,109790000,1882610000,1.7439
2000/5/12,1420.57,1451.09,1394.16,1417.93,100160000,1728440000,1.5817
2000/5/15,1419.04,1441.36,1378.64,1405.38,99030000,1710640000,1.5768
2000/5/16,1408.44,1444.28,1391.99,1424.65,90020000,1658790000,1.4258
2000/5/17,1430.67,1455.85,1404.49,1426.49,89150000,1578160000,1.4119
2000/5/18,1425.8,1462.32,1407.57,1450.74,108230000,1977280000,1.7142
2000/5/19,1454.18,1487.09,1434.23,1469.77,149090000,2713640000,2.3414
2000/5/22,1474.48,1528.45,1456.71,1508.8,206190000,3748140000,3.2614
2000/5/23,1514.5,1540.88,1479.14,1509.03,174910000,3097460000,2.7668
2000/5/24,1507.74,1549.56,1484.59,1518.88,207410000,3712230000,3.2699
2000/5/25,1524.15,1560.14,1499.36,1536.12,196280000,3546580000,3.0944
2000/5/26,1538.24,1569.19,1501,1535.29,173910000,3296680000,2.7193
2000/5/29,1553.47,1595.53,1528.18,1566.87,222720000,4429020000,3.4927
