Date,Open,High,Low,Close,Volume
2007/1/4,14.65,15.32,13.83,14.11,69207082
2007/1/5,13.93,13.93,13,13.06,53732890
2007/1/8,13.05,13.54,13.02,13.37,31761560
2007/1/9,13.39,13.88,13.3,13.8,47968021
2007/1/10,13.79,14.23,13.6,14.08,44737422
2007/1/11,14.18,14.78,14.09,14.78,40996055
2007/1/12,15.11,15.52,14.9,15.52,90902123
2007/1/15,15.5,16.3,15.04,16.3,55236455
2007/1/16,16.5,17.12,16.5,17.02,52523640
2007/1/17,17,17.59,16.4,17.02,45910806
2007/1/18,16.95,,16.17,16.18,48969519
2007/1/19,16.2,16.99,16.2,16.95,47932790
2007/1/22,17.11,17.8,17.11,17.76,54038875
2007/1/23,17.5,18.3,17.31,18.1,50369492
2007/1/24,18,18.5,17.54,17.71,44248617
2007/1/25,17.8,18.07,17.37,17.4,48436276
2007/1/26,18.2,18.27,17.6,18.27,62425541
2007/1/29,18.9,19.18,18.9,19.18,27014435
2007/1/30,20.13,20.14,19.9,20.14,29635567
2007/1/31,20.98,20.98,19.13,19.13,73196002
2007/2/1,18.56,18.96,18.17,18.46,66285498
2007/2/2,18.18,18.66,17.54,17.54,39611049
2007/2/5,17.3,17.63,16.66,16.69,39927406
2007/2/6,16.69,17.52,16.66,17.52,28237726
2007/2/7,18.4,18.4,18.4,18.4,5916647
2007/2/8,18.4,19.32,18.1,19.1,64727854
2007/2/9,19.17,19.2,18.28,18.39,30926290
2007/2/12,18.36,19.31,18.36,19.31,25159809
2007/2/13,20,20.2,19.4,19.66,24394451
2007/2/14,19.88,20.59,19.6,20.55,27999331
2007/2/15,20.65,21.17,20.2,20.51,31972344
2007/2/16,20.7,21.4,20.57,20.8,27975051
2007/2/26,20.4,20.5,19.82,20.21,21393632
2007/2/27,20.2,20.79,19.2,19.2,22746641
2007/2/28,18.24,19.18,18.24,19.05,43811486
2007/3/1,19,19,18.1,18.1,22927483
2007/3/2,17.91,18.37,17.55,18.19,20750706
2007/3/5,18.05,18.27,17.28,17.51,31385015
2007/3/6,17.52,18.39,17.51,18.39,28507821
2007/3/7,18.4,18.9,18.3,18.61,28029635
2007/3/8,18.69,19.45,18.61,18.9,18552006
2007/3/9,18.9,19.2,18.58,18.96,21954379
2007/3/12,18.95,19,18.05,18.4,15982161
2007/3/13,18.4,18.77,18.36,18.53,13520785
2007/3/14,18.3,18.3,17.8,17.99,18252022
2007/3/15,17.95,18.4,17.95,18.37,14248334
2007/3/16,18.38,18.51,17.94,18.05,18641612
2007/3/19,17.77,18.95,17.6,18.95,27595802
2007/3/20,19.4,19.4,18.9,18.94,25024333
2007/3/21,19.14,19.89,19.08,19.89,35862050
2007/3/22,20.29,20.88,19.5,19.95,54898793
2007/3/23,19.65,19.75,18.95,19.38,35862049
2007/3/26,19,19.33,18.51,19.16,28182462
2007/3/27,19,19.1,18.75,18.99,23566174
2007/3/28,18.92,19.38,18.04,19.08,41538426
2007/3/29,19.07,20.02,18.91,19.16,58951589
2007/3/30,18.88,19,18.57,18.88,21638160
2007/4/2,18.98,19.6,18.95,19.28,31360278
