date,open,close,high,low,volume
2014/1/2,1028.617,1056.116,1056.116,1027.298,3327555.3
2014/1/3,1052.042,1050.779,1059.006,1045.721,3420876.2
2014/1/6,1047.484,1011.761,1047.882,1011.347,3097982.2
2014/1/7,1005.409,1023.982,1028.96,1001.883,2966064.2
2014/1/8,1034.083,1036.027,1040.527,1027.107,3110928.9
2014/1/9,1032.8,1014.188,1042.761,1014.188,2945223.4
2014/1/10,1007.004,984.696,1012.72,980.292,2518179
2014/1/13,982.206,981.327,991.044,972.465,1947715.1
2014/1/14,980.88,1017.476,1017.476,980.88,2470146.8
2014/1/15,1016.583,1029.794,1029.794,1013.557,2477664.1
2014/1/16,1028.444,1027.497,1038.153,1021.932,2849383.6
2014/1/17,1025.364,1022.632,1032.13,1017.105,2680061.3
2014/1/20,1017.275,1014.039,1025.715,1004.635,2225573.5
2014/1/21,1014.612,1035.151,1035.151,1012.482,2534689.6
2014/1/22,1033.068,1057.203,1057.231,1032.401,3309958.4
2014/1/23,1061.571,1084.414,1089.785,1060.938,3656806.9
2014/1/24,1085.008,1107.984,1108.766,1082.909,3892497.9
2014/1/27,1108.211,1120.107,1130.263,1106.313,3948665.7
2014/1/28,1118.825,1115.24,1126.858,1100.658,3080862.5
2014/1/29,1117.746,1130.263,1134.167,1114.865,2638833.4
2014/1/30,1126.295,1117.671,1128.874,1113.183,2748003.7
2014/2/7,1107.342,1155.663,1155.875,1103.165,3983271.6
2014/2/10,1168.064,1211.492,1214.184,1168.064,5857962.7
2014/2/11,1216.065,1215.167,1219.883,1187.708,5884855.3
2014/2/12,1219.712,1256.163,1259.185,1219.276,6493574.2
2014/2/13,1263.785,1232.905,1265.473,1229.107,6973154.6
2014/2/14,1231.105,1255.45,1255.45,1224.548,4972495
2014/2/17,1261.853,1298.807,1298.807,1255.079,6429134.4
2014/2/18,1300.076,1299.914,1311.82,1287.164,6922895.3
2014/2/19,1297.147,1286.654,1303.326,1274.305,5021637.4
2014/2/20,1292.724,1273.097,1295.44,1261.674,5296306.5
2014/2/21,1274.565,1273.997,1285.641,1260.179,4720903.4
2014/2/24,1274.755,1304.997,1305.027,1267.627,5382595.4
2014/2/25,1308.071,1223.033,1313.811,1214.852,6768927.9
2014/2/26,1208.296,1223.689,1223.689,1183.269,4582356.2
2014/2/27,1228.583,1189.873,1253.773,1188.917,4988798.6
2014/2/28,1190.395,1211.871,1212.654,1176.407,4315709.3
2014/3/3,1219.324,1242.729,1242.729,1215.033,4320044.7
2014/3/4,1239.425,1242.941,1245.76,1223.784,4759938.1
2014/3/5,1244.929,1237.847,1250.732,1233.755,3935897.1
2014/3/6,1233.97,1243.643,1248.021,1219.52,3738800.6
2014/3/7,1246.326,1229.811,1255.685,1223.926,3915138.7
2014/3/10,1212.501,1161.871,1212.501,1159.471,4141025.5
2014/3/11,1155.584,1158.667,1174.113,1145.009,3038371.1
2014/3/12,1154.927,1147.279,1163.613,1124.586,2783230.6
2014/3/13,1148.455,1162.445,1164.74,1147.698,2340437.7
2014/3/14,1153.801,1167.066,1173.02,1150.423,2317811.1
2014/3/17,1169.676,1207.315,1207.344,1168.773,3231827.1
2014/3/18,1207.315,1202.544,1215.501,1200.777,3110398.6
2014/3/19,1201.784,1210.873,1212.135,1196.413,3268192.9
2014/3/20,1209.396,1161.544,1215.428,1161.544,4388060.1
2014/3/21,1150.013,1181.539,1182.7,1138.202,3743114.4
2014/3/24,1179.471,1172.733,1182.354,1168.71,3091931.6
2014/3/25,1167.719,1173.849,1177.256,1162.625,3011167.5
2014/3/26,1173.107,1184.05,1191.848,1172.786,2827517
2014/3/27,1180.468,1149.51,1180.468,1149.51,2740906.5
2014/3/28,1144.911,1100.669,1148.612,1096.015,3208283.8
2014/3/31,1099.997,1095.898,1107.377,1086.805,2044288.6
2014/4/1,1097.556,1124.653,1124.653,1096.186,1849895.5
2014/4/2,1130.742,1120.715,1132.15,1114.424,1968076.2
2014/4/3,1117.101,1126.906,1135.818,1117.101,2002867.5
2014/4/4,1126.144,1143.809,1143.809,1122.103,2395279.2
2014/4/8,1137.738,1149.582,1149.582,1130.083,2531939.3
2014/4/9,1152.607,1172.354,1172.354,1150.584,3014466
2014/4/10,1174.584,1176.959,1189.325,1172.549,4013944
2014/4/11,1168.297,1165.849,1169.122,1157.926,3506151.3
2014/4/14,1163.05,1177.701,1177.729,1162.573,2826032
2014/4/15,1177.398,1174.195,1180.056,1169.148,3263350.5
2014/4/16,1169.648,1171.483,1174.446,1161.837,2721784.8
