nav_date,close
2016-11-16,351.4069
2016-11-17,351.2344
2016-11-18,350.581
2016-11-21,350.952
2016-11-22,351.8469
2016-11-23,351.9064
2016-11-24,352.259
2016-11-25,352.0815
2016-11-28,352.0453
2016-11-29,352.272
2016-11-30,352.5067
2016-12-01,353.0832
2016-12-02,353.065
1999-01-04,96.49
1999-01-05,96.17
1999-01-06,96.49
1999-01-07,97.71
1999-01-08,99.3
1999-01-11,102.84
1999-01-12,129.55
1999-01-13,101.37
1999-01-14,101.56
1999-01-15,102.99
1999-01-19,102.18
1999-01-20,102.14
1999-01-21,102.24
1999-01-22,102.45
1999-01-25,102.71
1999-01-26,104.21
1999-01-27,104.43
1999-01-28,105.81
1999-01-29,106.21
1999-02-01,106.38
1999-02-02,106.35
1999-02-03,106.18
1999-02-04,106.4
1999-02-05,106.47
1999-02-08,106.53
1999-02-09,106.49
1999-02-10,106.14
1999-02-11,106.41
1999-02-12,107.25
1999-02-15,107.46
1999-02-16,107.89
1999-02-17,107.74
1999-02-18,107.76
1999-02-19,108.22
1999-02-22,108.01
1999-02-23,107.68
1999-02-24,107.42
1999-02-25,107.07
1999-02-26,107.02
1999-03-01,107.31
1999-03-02,107.55
1999-03-03,107.65
1999-03-04,107.69
1999-03-05,107.73
1999-03-08,107.66
1999-03-09,107.86
1999-03-10,107.9
1999-03-11,108.48
1999-03-12,108.32
1999-03-15,108.01
1999-03-16,109.0
1999-03-17,109.06
1999-03-18,109.22
1999-03-19,109.64
1999-03-22,109.75
1999-03-23,109.83
1999-03-24,110.1
1999-03-25,110.02
1999-03-26,110.31
1999-03-29,110.43
1999-03-30,110.74
1999-03-31,110.88
1999-04-01,110.54
1999-04-05,110.63
1999-04-06,110.58
1999-04-07,110.77
1999-04-08,111.08
1999-04-09,111.3
1999-04-12,111.36
1999-04-13,111.71
1999-04-14,111.68
1999-04-15,111.95
1999-04-16,112.21
1999-04-19,112.86
1999-04-20,112.74
1999-04-21,112.66
1999-04-22,113.0
1999-04-23,113.01
1999-04-26,113.11
1999-04-27,113.3
1999-04-28,113.31
1999-04-29,113.76
1999-04-30,114.15
1999-05-03,131.62
1999-05-04,117.0
1999-05-05,116.85
1999-05-06,116.99
1999-05-07,113.74
1999-05-10,113.64
1999-05-11,135.0
1999-05-12,135.53
1999-05-13,137.81
1999-05-14,136.34
1999-05-17,113.82
1999-05-18,113.91
1999-05-19,136.47
1999-05-20,112.9
1999-05-21,136.95
1999-05-24,112.74
1999-05-25,111.38
1999-05-26,111.93
1999-05-27,111.83
1999-05-28,112.27
1999-06-01,114.95
1999-06-02,114.37
1999-06-03,114.23
1999-06-04,114.59
1999-06-07,114.65
1999-06-08,112.24
1999-06-09,112.11
1999-06-10,112.01
1999-06-11,112.22
1999-06-14,112.6
1999-06-15,111.8
1999-06-16,112.22
1999-06-17,112.32
1999-06-18,112.03
1999-06-21,112.36
1999-06-22,112.49
1999-06-23,112.09
1999-06-24,112.06
1999-06-25,111.71
1999-06-28,112.03
1999-06-29,112.3
1999-06-30,112.24
1999-07-01,113.75
1999-07-02,113.01
1999-07-05,112.99
1999-07-06,112.68
1999-07-07,112.63
1999-07-08,112.83
1999-07-09,112.63
1999-07-12,113.1
1999-07-13,112.91
1999-07-14,113.49
