DateTime,open,high,low,close,volume,amt,turn,ma_5,ma_10,ma_22,ma_66,ma_125,ma_250,macd,msign,mdiff,vortex_20,uos,tsi,trix_20,stok,std_10,rsi_k,rsi_20,mass,mom_15,bspoint,label,signal
2001/1/16,1444.26,1477.44,1427.9,1467.02,459500000,4882260000,0.9691,1486.934,1491.416,1477.52,1473.776061,1482.0704,1396.138,2.657945865,5.414224915,-2.756279049,-0.008572896,3.411787313,0.017769926,0.000142392,0.789664917,18.21557587,0.330422488,24.83590673,25.03172567,10.49,0,-1,0
2001/1/17,1468.84,1483.1,1450.03,1460.89,376750000,3871530000,0.764,1477.582,1487.127,1477.505,1474.794697,1481.69152,1397.85068,-0.428045503,4.245770831,-4.673816335,0.009232347,3.390580246,-0.009698827,0.000126278,0.328394315,19.94792612,0.362715534,26.61711304,25.1106266,-2.12,0,-1,0
2001/1/18,1461.95,1482.67,1453.4,1467.48,380670000,3991680000,0.7822,1469.536,1484.21,1477.753636,1475.846667,1481.34872,1399.57512,-1.949267553,3.006763154,-4.956030707,0.00813363,3.30862909,-0.022959102,0.000104246,0.481038606,20.52506868,0.362715534,26.61711304,25.15215995,12.07,0,-1,0
2001/1/19,1472.23,1494.67,1466.39,1484.93,452730000,4701180000,0.9232,1466.59,1482.619,1478.964091,1476.95697,1481.19896,1401.18764,-0.7943962,2.246531283,-3.040927484,0.006735758,3.281090915,-0.01339409,8.85E-05,0.655586987,19.69251039,0.433480633,30.23972719,25.1547172,26.53,0,-1,0
2001/2/5,1487.76,1498.91,1441.89,1450.75,391090000,3957600000,0.8082,1466.214,1479.007,1478.028182,1477.676515,1480.7516,1402.47216,-4.43577163,0.910070701,-5.345842331,0.006082489,2.959762908,-0.041825988,5.78E-05,0.155384076,22.0031599,0.346625286,25.74029241,25.25301914,-23.49,0,-1,0
2001/2/6,1444.7,1457.3,1411.09,1443.85,382060000,3910130000,0.7834,1461.58,1474.257,1476.705455,1477.916364,1480.29552,1403.64504,-8.148363837,-0.901616207,-7.24674763,-0.06542975,3.196152097,-0.069500116,1.26E-05,0.708937459,24.07232484,0.271138849,21.33038801,25.34188398,-50.48,0,-1,0
2001/2/7,1445.12,1457.41,1421.88,1432.77,334660000,3249000000,0.6815,1455.956,1466.769,1475.306818,1477.881212,1479.7044,1404.97172,-12.43955131,-3.209203227,-9.230348082,-0.053857332,3.339788353,-0.100577913,-4.85E-05,0.306501548,24.17682244,0.271764868,21.36911272,25.40132497,-71.01,0,-1,0
2001/2/8,1430.55,1442.81,1384.14,1393.33,354220000,3743110000,0.7269,1441.126,1455.331,1472.434091,1477.309545,1478.71128,1406.26016,-20.91592847,-6.750548275,-14.16538019,-0.116366515,2.773154923,-0.157413376,-0.000142858,0.156638827,29.19191572,0.204997223,17.0122569,25.52422025,-103.32,0,-1,0
2001/2/9,1397.29,1427,1389.32,1413.28,340700000,3704510000,0.7022,1426.796,1446.693,1470.173636,1476.883636,1477.84536,1407.6662,-24.67323525,-10.33508567,-14.33814958,-0.12109351,2.959178831,-0.177470439,-0.000247742,0.635881104,27.33859179,0.204997223,17.0122569,25.59517731,-87.56,0,-1,0
2001/2/12,1416.24,1430.24,1390.11,1416.96,366350000,3604390000,0.7506,1420.038,1443.126,1468.425909,1476.675303,1477.00592,1409.13908,-26.88902607,-13.64587375,-13.24315232,-0.142026205,3.087636744,-0.188440677,-0.00035541,0.669075505,28.7675663,0.224966741,18.36513056,25.64279781,-69.91,0,-1,0
