DateTime,open,high,low,close,volume,amt,turn,bspoint,label
2000/1/4,1003.53,1041.94,989.75,1032.72,319660000,3171770000.0,0.8154,0,1.0
2000/1/5,1035.93,1070.41,1019.18,1036.37,518490000,5333390000.0,1.3106,0,
2000/1/6,1034.44,1089.01,1023.29,1081.8,615360000,6167860000.0,1.5472,0,
2000/1/7,1096.13,1145.76,1085.06,1129.62,1293550000,13803490000.0,3.2772,0,
2000/1/10,1145.31,1173.38,1115.28,1150.63,1233120000,13508480000.0,3.1324,0,-1.0
2000/1/11,1154.64,1168.69,1086.21,1101.1,1030470000,10995120000.0,2.6117,0,
2000/1/12,1096.35,1123.77,1056.62,1071.22,825570000,9405710000.0,2.0895,0,
2000/1/13,1071.17,1090.14,1046.71,1061.77,475380000,4993370000.0,1.2034,0,
2000/1/14,1064.04,1081.5,1038.03,1048.74,398620000,4343830000.0,1.0087,0,1.0
2000/1/17,1047.34,1074.59,1032.13,1066.87,396540000,3998210000.0,1.0035,0,
2000/1/18,1069.51,1090.8,1047.45,1061.99,450990000,4608250000.0,1.1383,0,
2000/1/19,1060.49,1088.51,1050.76,1073.12,402980000,4138010000.0,1.0201,0,
2000/1/20,1075.5,1102.27,1063.16,1090.8,527040000,5629410000.0,1.3330000000000002,0,
2000/1/21,1095.24,1121.4,1069.8,1089.84,768740000,8540000000.0,1.9451,0,
2000/1/24,1091.21,1119.08,1063.46,1097.4,830760000,9335170000.0,2.1022,0,
2000/1/25,1104.87,1141.15,1079.83,1105.53,868700000,9341880000.0,2.1958,0,
2000/1/26,1108.38,1129.78,1086.09,1105.53,609760000,6438840000.0,1.5016,0,
2000/1/27,1115.54,1145.2,1092.65,1123.32,846620000,9606240000.0,2.1367,0,
2000/1/28,1130.38,1170.02,1107.93,1149.98,1126700000,13335980000.0,2.8448,0,
2000/2/14,1193.36,1259.44,1176.02,1255.73,1375610000,15468430000.0,4.8627,0,
2000/2/15,1289.82,1329.76,1226.69,1253.94,1976370000,24121410000.0,4.9886,0,
2000/2/16,1261.8,1298.97,1215.75,1270.06,1980860000,23886770000.0,4.9937,0,-1.0
2000/2/17,1299.54,1356.89,1203.14,1240.0,2804620000,34481350000.0,7.0656,0,
2000/2/18,1232.2,1279.32,1175.31,1250.18,1543800000,19524570000.0,3.8922,0,
2000/2/21,1257.78,1307.77,1211.15,1260.99,1720450000,21601170000.0,4.3376,0,
2000/2/22,1271.62,1309.06,1206.23,1223.17,1477380000,18296740000.0,3.7209,0,
2000/2/23,1211.93,1241.88,1172.37,1190.97,1176660000,13735670000.0,2.9656,0,1.0
2000/2/24,1192.07,1235.59,1177.4,1221.81,906430000,10486430000.0,2.2831,0,
2000/2/25,1227.2,1251.76,1195.08,1222.58,1064370000,13638520000.0,2.6695,0,
2000/2/28,1231.82,1294.31,1210.19,1277.35,1329480000,16709070000.0,3.3372,0,
2000/2/29,1297.78,1334.33,1240.66,1286.5,1795750000,23040040000.0,4.4588,0,
2000/3/1,1291.18,1329.0,1251.51,1275.4,1487230000,18735930000.0,3.8029,0,
2000/3/2,1273.99,1315.78,1246.49,1282.1,1303470000,16086090000.0,3.2769999999999997,0,
2000/3/3,1298.96,1339.94,1270.56,1301.55,1578510000,19618920000.0,3.9703,0,-1.0
2000/3/6,1314.87,1345.0,1245.1,1256.83,1626160000,19907890000.0,4.0887,0,1.0
2000/3/7,1244.41,1293.62,1224.63,1277.31,1229180000,13597420000.0,3.091,0,
2000/3/8,1288.49,1322.95,1257.06,1295.97,1128400000,13365720000.0,2.8292,0,
2000/3/9,1303.7,1336.96,1266.28,1298.72,1178290000,14863670000.0,2.9545,0,-1.0
2000/3/10,1298.46,1323.43,1258.41,1273.39,1032520000,11874420000.0,2.5879,0,
2000/3/13,1272.95,1310.75,1257.74,1290.06,873440000,9162000000.0,2.1911,0,
2000/3/14,1261.44,1288.92,1213.23,1260.97,1247300000,13158480000.0,3.1266,0,
2000/3/15,1259.92,1290.04,1235.37,1256.7,1009910000,9441260000.0,2.5324,0,
2000/3/16,1248.59,1256.51,1181.96,1196.89,1033820000,9752820000.0,2.5836,0,1.0
2000/3/17,1191.33,1248.12,1185.66,1235.13,872180000,9067290000.0,2.1809,0,
2000/3/20,1221.3,1277.78,1203.15,1262.65,1080020000,10566550000.0,2.6993,0,
2000/3/21,1266.54,1294.33,1242.22,1267.83,1098250000,10871920000.0,2.7436,0,
2000/3/22,1269.98,1308.58,1251.28,1279.69,983010000,11254760000.0,2.4567,0,
2000/3/23,1282.34,1313.48,1259.66,1297.74,1139050000,12556540000.0,2.8475,0,
2000/3/24,1309.24,1341.19,1273.27,1285.8,1514000000,16654450000.0,3.7791,0,
2000/3/27,1288.22,1335.59,1273.73,1318.91,1355990000,13897050000.0,3.3689,0,
2000/3/28,1331.31,1362.57,1301.82,1330.81,1798010000,16739970000.0,4.4768,0,
2000/3/29,1337.78,1360.7,1297.42,1324.74,1365220000,13362200000.0,3.3932,0,
2000/3/30,1328.41,1358.63,1308.18,1339.16,1074860000,11141580000.0,2.6745,0,-1.0
2000/3/31,1337.71,1359.35,1306.71,1327.2,1271950000,12582320000.0,3.1638,0,
2000/4/3,1328.29,1356.14,1303.76,1320.57,1060220000,10778720000.0,2.6315,0,
